titulo,letra
Próximo Amor (part. Alok),"Olha aqui Vou falar só uma vez Por mais que o nosso lance tenha virado piada Não ri Nem todos são como eu, não desilude Não tire o nosso relacionamento de base Não deixe atrapalhar quando outro te beijar Pensa que vai dar certo, que dá O seu próximo amor Não tem culpa do que você passou Se passou, não foi amor Amor fica, e você não ficou O seu próximo amor Não tem culpa do que você passou Se passou, não foi amor Amor fica, e você não ficou Olha aqui Vou falar só mais uma vez Por mais que o nosso lance tenha virado piada Não ri Nem todos são como eu, não desilude Não tire o nosso relacionamento de base Não deixe atrapalhar quando outro te beijar Pensa que vai dar certo, que dá O seu próximo amor Não tem culpa do que você passou Se passou, não foi amor Amor fica, e você não ficou O seu próximo amor Não tem culpa do que você passou Se passou, não foi amor Amor fica, e você não ficou O seu próximo amor Não tem culpa do que você passou Se passou, não foi amor Amor fica, e você não ficou"
Pura Magia,"Nosso amor é um conto uma lenda sem fim Uma história encantada pra você e pra mim Até mesmo as estrelas coladas no céu Iluminam nós dois num barco de papel Nosso amor nos tirou de um lugar comum Não existe nós dois, agora somos um Não há nada que possa separar nós dois Nosso amor é o antes, o agora e o depois Nosso amor é um mito, um caso irreal Se tornou irreal, além da razão Nosso amor é tudo que ninguém viveu Só você e eu, sabe o que é paixão Meu bem, não tem ninguém que me faz Conhecer um mundo de fantasia Você e eu, ninguém mais Vive um amor que é pura magia"
puxando o rodo,"Quero uma cerveja gelada E um maço de Derby amassado Pra tentar dar uma disfarçada E acreditar que ela é passado Seu Antônio, cê é meu amigo O seu bar é minha segunda casa Cê tem me tratado como um filho Me dando esse remédio pra lágrimas Me traz uma dose em dobro Que hoje pra enxugar meu choro Não vai ser no lenço Vai ser puxando o rodo Me traz outra dose em dobro Que hoje pra enxugar meu choro Não vai ser no lenço Vai ser puxando o rodo Seu Antônio, cê é meu amigo O seu bar é minha segunda casa Cê tem me tratado como um filho Me dando esse remédio pra lágrimas Me traz uma dose em dobro Que hoje pra enxugar meu choro Não vai ser no lenço Vai ser puxando o rodo Me traz outra dose em dobro Que hoje pra enxugar meu choro Não vai ser no lenço Vai ser puxando o rodo Me traz uma dose em dobro Que hoje pra enxugar meu choro Não vai ser no lenço Vai ser puxando o rodo Me traz outra dose em dobro Que hoje pra enxugar meu choro Não vai ser no lenço Vai ser puxando o rodo"
quando a bad bater,"Amor, eu só quero o seu bem Se for embora agora, vai ficar sem ninguém Amor, eu quero um filho seu E eu não suporto a ideia de que nada valeu Para pra ver o quanto a gente cresceu E tudo que eu te dei de bom Lembra da gente no seu quarto, no breu Debaixo do seu edredom Não vai saber o que fazer Quando a bad bater e o silêncio trazer minha voz Não vai saber o que beber Se esse vinho não mata essa sede Sede que é de nós Não vai saber o que fazer Quando a bad bater e o silêncio trazer minha voz Não vai saber o que beber Se esse vinho não mata essa sede Sede que é de nós Amor, eu só quero o seu bem Se for embora agora, vai ficar sem ninguém Amor, eu quero um filho seu E eu não suporto a ideia de que nada valeu Para pra ver o quanto a gente cresceu E tudo que eu te dei de bom Lembra da gente no seu quarto, no breu Debaixo do seu edredom Não vai saber o que fazer Quando a bad bater e o silêncio trazer minha voz Não vai saber o que beber Se esse vinho não mata essa sede Sede que é de nós Não vai saber o que fazer Quando a bad bater e o silêncio trazer minha voz Não vai saber o que beber Se esse vinho não mata essa sede Sede que é de nós Vai ver quando a bad bater Quando essa bad bater E o silêncio trazer minha voz Vai ver quando a bad bater Quando essa bad bater Vai ver que a sua sede é de nós"
Quando Chega a Noite,"Quando chega a noite Me bate o frio da solidão Eu choro de saudade sua Quando chega a noite Eu fico olhando para o céu E conversando com a Lua Quando chega a noite Eu fico olhando para o céu E conversando com a Lua Perguntando a ela o que devo fazer E parar de sofrer Perguntando a ela onde te encontrar E o que fazer da minha vida Pra você voltar Eu faço loucuras e eu viajo, vou pra Lua Se for preciso eu dou um giro no planeta Nas asas de um avião Na cauda de um cometa Faço de tudo pra sair da solidão E ter você de novo no meu coração Faço de tudo pra sair da solidão E ter você de novo no meu coração"
Quando o Seu Namorado For Eu (part. Tierry),"Aquele seu primeiro caso até prestava Só que o beijo não encaixava Aquele seu segundo caso era bacana Mas ele era ruim de cama Cê vai rodar, ir e voltar Tentar, tentar até cansar E vai ficar faltando um pedaço Só eu pra preencher o seu espaço Sabe o que eu acho? Você só vai dar certo com alguém, amor meu Você só vai dar certo com alguém, amor meu Quando seu namorado for eu Quando seu namorado for eu Você só vai dar certo com alguém, amor meu Você só vai dar certo com alguém, amor meu Quando seu namorado for eu Quando seu namorado for eu Eu só descanso quando a gente casar E o meu sobrenome for o seu Aquele seu primeiro caso até prestava Só que o beijo não encaixava Aquele seu segundo caso era bacana Mas não era o Luan Santana Cê vai rodar, ir e voltar Tentar, tentar até cansar E vai ficar faltando um pedaço Só eu pra preencher o seu espaço Sabe o que eu acho? Você só vai dar certo com alguém, amor meu Você só vai dar certo com alguém, amor meu Quando seu namorado for eu Quando seu namorado for eu Você só vai dar certo com alguém, amor meu Você só vai dar certo com alguém, amor meu Quando seu namorado for eu Quando seu namorado for eu Eu só descanso quando a gente casar E o meu sobrenome for o seu Eu só descanso quando a gente casar E o meu sobrenome for o seu"
Quarto,"Deixa eu ver, deixa eu ver, tô querendo só olhar, olhar Deixa eu ver se a vista desse quarto, vai me agradar, agradar Porque eu vou passar o resto desse ano lá Vou mudar algumas coisas pra gente não sair mais de lá Deixa a cama, deixa as paredes Vou pôr areia pra fazer amor na praia Tirar o teto pra fazer à luz da lua Pôr uma faixa de pedestre e uma placa Pra quando der vontade de se amar na rua Deixa a cama, deixa as paredes Vou pôr areia pra fazer amor na praia Tirar o teto pra fazer à luz da lua Pôr uma faixa de pedestre e uma placa Pra quando der vontade de se amar na rua Deixa eu ver, deixa eu ver, tô querendo só olhar, olhar Deixa eu ver se a vista desse quarto, vai me agradar, agradar Porque eu vou passar o resto desse ano lá Vou mudar algumas coisas pra gente não sair mais de lá, oh Deixa a cama, deixa as paredes Vou pôr areia pra fazer amor na praia Tirar o teto pra fazer à luz da lua Pôr uma faixa de pedestre e uma placa Pra quando der vontade de se amar na rua Deixa a cama, deixa as paredes Vou pôr areia pra fazer amor na praia Tirar o teto pra fazer à luz da lua Pôr uma faixa de pedestre e uma placa Pra quando der vontade de se amar na rua Vou pôr areia pra fazer amor na praia Tirar o teto pra fazer à luz da lua Pôr uma faixa de pedestre e uma placa Pra quando der vontade de se amar na rua"
Quem Sabe Amanhã,"Não sei porque te quero assim Você de mim faz o que quer Às vezes juro que é a fim E outras que não é Já tentei por vezes te esquecer E outra boca quis beijar Eu te evito, mas quero te ver Dá raiva de te amar Não, eu não posso mais ficar assim Esperando a sua crise ter um fim Rezando pra você voltar atrás Falta coragem pra dizer que nunca mais (Sou culpado) Estou amarrado em suas mãos (Quanta saudade) Quando o teu corpo toca o meu (Como eu queria) O fim das crises do teu coração (Quem sabe um dia) A sua vontade seja eu (Sou culpado) Me dei todo e você desfaz (Quanta saudade) Minha recompensa é você (Como eu queria) Concordar com tudo que me faz (Quem sabe um dia) Eu até consiga te esquecer Amor é pra sentir, não pra entender"
Quem Te Ama Sou Eu,"Fiquei sabendo que você vai me deixar por outro alguém Encontrei com um amigo e disse, coisas de você Ele me disse que você não quer viver mais ao meu lado E o que existia entre nós virou passado No mesmo instante percebi quando uma lágrima caía Tentei conter meus sentimentos, sofrimento me invadia Saí sem rumo pelas ruas sem saber a direção Esse momento eu só ouvia o coração Vai me deixar, vai me trocar por outro amor Mas vai sentir a falta que tem meu calor Não vai achar, amor tão grande igual ao meu Só assim vai entender quem te ama sou eu"
Querência Amada,"Quem quiser saber quem sou Olha para o céu azul E grita junto comigo Viva o Rio Grande do Sul O lenço me identifica Qual a minha procedência Da província de São Pedro Padroeiro da querência Oh, meu Rio Grande De encantos mil Disposto a tudo pelo Brasil Querência amada dos parreirais Da uva vem o vinho Do povo vem o carinho Bondade nunca é demais Deus é gaúcho De espora e mango Foi maragato ou foi chimango Querência amada Meu céu de anil Este Rio Grande gigante Mais uma estrela brilhante Na bandeira do Brasil Ah, eu sou Gaúcho Ah, eu sou Gaúcho Ah, eu sou Gaúcho"
Química do Amor (part. Ivete Sangalo),"Queria ser um peixe e mergulhar no seu aquário Queria ser a data pra marcar seu calendário Eu e você espera pra ver Que tal a gente agora misturar a nossa cor Pra ver a combustão, a química do nosso amor Eu e você, quer pagar pra ver? Me diga, que você vai entrar na minha vida Que eu sou a sua musa preferida Diga que eu sou seu bem me quer Seu anjo, sua fada, o que você quiser Fala no meu ouvido bem baixinho que me ama E me leva de uma vez pra sua cama Me dá uma noite de prazer Eu topo tudo com você. Vambora, não demora Eu quero ser o seu amor, ôô, ôô Tô louco pra me entregar, aa, aa E aí paixão, o meu coração, Tá xonado de tanto desejo Eu quero ser o seu amor, ôô, ôô Tô louca pra me entregar, aa, aa Tudo o que eu quero agora é tá contigo e te amar. Me diga, que você vai entrar na minha vida Que eu sou a sua musa preferida Diga que eu sou seu bem me quer Seu anjo, sua fada, o que você quiser Fala no meu ouvido bem baixinho que me ama E me leva de uma vez pra sua cama Me dá uma noite de prazer Eu topo tudo com você Vambora, não demora Eu quero ser o seu amor, ôô, ôô Tô louco pra me entregar, aa, aa E aí paixão o meu coração, Tá xonado de tanto desejo Eu quero ser o seu amor, ôô, ôô Tô louca pra me entregar, aa, aa Tudo o que eu quero agora é tá contigo e te pra sempre te amar."
Raios e Trovoadas,Por que fica nesse chove e não molha ? Por que não decide nossa história ? Por que não sabe dizer se é amor o que sente ? Por que faz tempestade em copo d'água ? Só manda raios e trovoadas Ao invés de palavras de amor Se não consegue enxergar Se não faz força pra ver Realmente a gente não tem nada a ver Se pra você tanto faz Não vai chorar nem sofrer Simplesmente o melhor é te esquecer Raios e Trovoadas Pancadas de solidão Seu amor foi muito pouco Apenas chuva de verão Raios e Trovoadas Mentiras em meu coração Seu amor foi um encanto Apenas ilusão Por que faz tempestade em copo d'água ? Só manda raios e trovoadas Ao invés de palavras de amor Se não consegue enxergar Se não faz força pra ver Realmente a gente não tem nada a ver Se pra você tanto faz Não vai chorar nem sofrer Simplesmente o melhor é te esquecer Raios e Trovoadas Pancadas de solidão Seu amor foi muito pouco Apenas chuva de verão Raios e Trovoadas Mentiras em meu coração Seu amor foi um engano Apenas ilusão
Raridade,"Raridade é ver o Sol depois da tempestade É esquecer a mentira e só ver a verdade O que machucou é tão difícil de esquecer Raridade é conseguir sorrir depois da briga Só quem ama muito enxerga a saída E, quando se vê livre, nosso amor invade o nosso coração Renova a nossa paixão Raridade é ver que o mundo hoje é meu e seu É confiar em mim, te conhecer valeu E vale cada dia mais É complicado conviver com algo tão incomum Mas a vontade de vencer é o que nos torna um Acredite, é raridade Eu te amo eternamente, minha Jade Raridade é ver o Sol depois da tempestade É esquecer a mentira e só ver a verdade O que machucou é tão difícil de esquecer Raridade é conseguir sorrir depois da briga Só quem ama muito enxerga a saída E, quando se vê livre, nosso amor invade o nosso coração Renova a nossa paixão Raridade é ver que o mundo hoje é meu e seu É confiar em mim, te conhecer valeu E vale cada dia mais É complicado conviver com algo tão incomum Mas a vontade de vencer é o que nos torna um Acredite, é raridade Eu te amo eternamente, minha Jade Minha Jade Minha Jade"
Rastro da Lua Cheia,"No quintal lá de casa Passava um pequeno rio Que descia lá da serra Ligeiro, escorregadio A água era cristalina Que dava pra ver o chão Ia cortando a floresta Na direção do sertão Lembrança ainda me resta Guardada no coração E tudo era azul celeste Brasileiro cor de anil Nem bem começava o ano Já era final de abril E o vento pastoreando Aquelas nuvens no céu Fazia o mundo girar Veloz como um carrossel E levantava a poeira E me arrancava o chapéu Ah, o tempo faz Tempo desfaz E vai além sempre A vida vem lá de longe É como se fosse um rio Pra rio pequeno, canoa Pros grandes rios, navios E bem lá no fim de tudo Começo de outro lugar Será como Deus quiser Como o destino mandar No rastro da Lua cheia Se chega em qualquer lugar Ah, o tempo faz Tempo desfaz E vai além sempre A vida vem lá de longe É como se fosse um rio Pra rio pequeno, canoa Pros grandes rios, navios E bem lá no fim de tudo Começo de outro lugar Será como Deus quiser Como o destino mandar No rastro da Lua cheia Se chega em qualquer lugar"
REFLETINDO MÁGOA,"Eu tô em frente ao espelho Encarando um covarde Que morre de medo Da sua liberdade Pega essa vontade de voltar pra ela, transforma em coragem Entra dentro do seu carro e roda essa cidade Explore as possibilidades O máximo que pode acontecer É você não voltar pra casa, emendar balada em balada E entre bocas e ciladas acordar de ressaca Com a boca amarga Roupas jogadas Lembrar de nada O que pode acontecer É você não voltar pra casa, emendar balada em balada E entre bocas e ciladas acordar de ressaca Com a boca amarga Roupas jogadas E não ficar no espelho refletindo mágoas"
RG (part. Anitta),"Eu sei quantos passos você dá da porta até o carro Sei que rádio você ouve enquanto vai pro seu trabalho E quando chega, dá oi pro seu Durval Que dá um sorriso e te entrega o jornal (e te entrega o jornal) Grande coisa, eu sei muito mais do que você imagina Sei que ama o pão de queijo que eles vendem ali na esquina E quando tá bravo, você coça o nariz Se o timão perde, põe culpa no juiz E ainda, se achar que eu não sei muito de você Eu posso até falar seu RG Com quantos elogios você vai ficar vermelha E ainda que você duvide do amor Olha na janela quem chegou Na forma de um presente preparada Pra você desembrulhar Ôôôô ô, ôôôô ôô Ôôôô ô, ôôôô ôô Ôôôô ô, ôôôô ôô Grande coisa, eu sei muito mais do que você imagina Eu sei que ama o pão de queijo que eles vendem ali na esquina Quando tá bravo, você coça o nariz Se o timão perde, põe culpa no juiz E ainda, se achar que eu não sei muito de você Eu posso até falar seu RG Com quantos elogios você vai ficar vermelha E ainda que você duvide do amor Olha na janela quem chegou Na forma de um presente preparada Pra você desembrulhar E ainda, se achar que eu não sei muito de você Eu posso até falar seu RG Com quantos elogios vai ficar vermelha E ainda que você duvide do amor Olha na janela quem chegou Na forma de um presente preparada Pra você desembrulhar Ôôôô ô, ôôôô ôô Ôôôô ô, ôôôô ôô Ôôôô ô, ôôôô ôô"
Rindo a Toa (part. Anitta e Matheus & Kauan),"Tô numa boa, tô aqui de novo Daqui não saio, daqui não me movo Tenho certeza, esse é o meu lugar Aha, aha Tô numa boa, tô ficando esperto Já não pergunto se isso tudo é certo Uso esse tempo pra recomeçar Aah aha Doeu, doeu, agora não dói Não dói, não dói Chorei, chorei Agora não choro mais Toda mágoa que passei É motivo pra comemorar Pois se não sofresse assim Não tinha razões pra cantar Ha ha ha ha ha Mas eu tô rindo à toa Não que a vida esteja assim tão boa Mas um sorriso ajuda a melhorar Aha, aha E cantando assim parece que o tempo voa Quanto mais triste mais bonito soa Eu agradeço por poder cantar Lalaiá laiá laiá Iê"
Sai da Minha Aba,"Sai pra lá, se manca Vê se me esquece Não aguento mais Já estou com estresse Se dou a mão Quer logo o pé Isso me aborrece Sai pra lá bicão Sai pra lá mané Vê se desaparece É toda a hora Meu compadre Quebra o galho aí É um qualquer Emprestado Sempre a me pedir Se tô bebendo Uma cerveja Bebe no meu copo Se acendo um cigarro Quer fumar pra mim Chego no pagode Quer entrar comigo Se ganho uma garota Tenta me atrasar Fica me marcando Pra não ter perigo De perder Minha carona Quando eu me mandar Da minha aba Da minha aba Da minha aba Sai da minha aba Sai pra lá Sem essa De não poder me ver Sai da minha aba Sai pra lá Não aturo mais você"
Same Mistake,"Saw the world turning in my sheets and once again I cannot sleep. Walk out the door and up the street; look at the stars beneath my feet. Remember rights that I did wrong, so here I go. Hello, hello. There is no place I cannot go. My mind is muddy but my heart is heavy. Does it show? I lose the track that loses me, so here I go. And so I sent some men to fight, and one came back at dead of night. Said he'd seen my enemy. Said he looked just like me, So I set out to cut myself and here I go. I'm not calling for a second chance, I'm screaming at the top of my voice. Give me reason but don't give me choice. 'Cause I'll just make the same mistake again. And maybe someday we will meet, and maybe talk and not just speak. Don't buy promises 'cause, there are no promises I keep. And my reflection troubles me, so here I go. I'm not calling for a second chance, I'm screaming at the top of my voice. Give me reason but don't give me choice. 'Cause I'll just make the same mistake. I'm not calling for a second chance, I'm screaming at the top of my voice. Give me reason but don't give me choice. 'Cause I'll just make the same mistake again. So while I'm turning in my sheets And once again, I cannot sleep Walk out the door and up the street Look at the stars Look at the stars, falling down, And I wonder where, did I go wrong."
SAUDADE IMPERCEPTÍVEL,"Quem sabe depois da terceira cerveja Minha boca se aproxima de uma outra e beija? Nem que seja só pra confortar Meu coração e minha mente quer me sabotar Um coração, mesmo ferido, ainda bate, tá? Difícil de embalar, só não parou porque Ainda sei como faz uma perna bambear Ainda sei como fazer pele seca suar Minha saudade é imperceptível Eu tô solteiro, eu tô sofrendo, mas tô me sentindo vivo Ainda sei como faz uma perna bambear Ainda sei como fazer pele seca suar Minha saudade é imperceptível Eu tô solteiro, eu tô sofrendo, mas tô me sentindo vivo Quem sabe depois da terceira cerveja Minha boca se aproxima de uma outra e beija? Nem que seja só pra confortar Meu coração e minha mente quer me sabotar Um coração, mesmo ferido, ainda bate, tá? Difícil de embalar, só não parou porque Ainda sei como faz uma perna bambear Ainda sei como fazer pele seca suar Minha saudade é imperceptível Eu tô solteiro, eu tô sofrendo, mas tô me sentindo vivo Ainda sei como faz uma perna bambear Ainda sei como fazer pele seca suar E a saudade é imperceptível Eu tô solteiro, eu tô sofrendo, mas tô me sentindo vivo"
SE ARREPENDIMENTO MATASSE,"Se arrependimento matasse, talvez eu Nem estaria aqui contando história, mas eu Devia só ter ido embora Mas juntou meu eu de fogo E o pecado com a pólvora O erro falando no meu ouvido Ninguém vai saber E o cheiro no cinto do carro Passei meu perfume pra tentar esconder E o batom eu limpei da minha boca Mas a consciência não tem o que fazer Eu devia ter virado o rosto e não o olho Deixado a aliança no dedo e não no bolso Envergonhado, eu olho no retrovisor E dou dois tapa na minha cara Beijei na boca de alguém na rua E vou beijar a testa de quem me espera em casa Eu devia ter virado o rosto O erro falando no meu ouvido Ninguém vai saber E o cheiro no cinto do carro Passei meu perfume pra tentar esconder E o batom eu limpei da minha boca Mas a consciência não tem o que fazer Eu devia ter virado o rosto e não o olho Deixado a aliança no dedo e não no bolso Envergonhado, eu olho no retrovisor E dou dois tapa na minha cara Beijei na boca de alguém na rua E vou beijar a testa de quem me espera em casa Eu devia ter virado o rosto Eu devia ter virado o rosto Envergonhado, eu olho no retrovisor E dou dois tapa na minha cara Beijei na boca de alguém na rua E vou beijar a testa de quem me espera em casa Eu devia ter virado o rosto"
Se Bebo É Por Causa Dela,"Todo dia a minha vida é a mesma confusão Te procuro pela casa, só encontro a solidão Quando é de tardezinha, vem saudade de você Vou correndo pro boteco, vou beber pra te esquecer Por causa dela eu cai na bebedeira Bebo uma, bebo duas, até bebo a noite inteira E se e verdade que a bebida não consola O que eu vou fazer, se quem eu amo foi embora? Eu ja fiz de tudo pra acalmar meu coração Dar um jeito na saudade, espantar a solidão, Mas tudo que fiz foi somente ilusão E agora na bebida é que encontro a solução Outra noite estou aqui outra vez embriagado, Está sofrendo, tá chorando, coração apaixonado Se ela não voltar pra me tirar deste sofrer, Amanhã volto de novo, vou beber pra te esquecer"
SEDUTOR,"Hum, hum, hum, hum Eu não sou sedutor Mas tenho o meu charme Olho fundo nos seus olhos e te conto umas verdades que são boas de escutar E essa voz rouca ajuda, eu sei, não tem como negar Por favor, não se iluda, eu num vou telefonar E nem mandar mensagem de bom dia É que a cara é de bobo, o beijo é de tralha Faço gostoso, deixo minha marca Chamo de novo, brota aqui em casa Pra tomar um gelo, fazer fumaça A cara é de bobo, o beijo é de tralha Faço gostoso, deixo minha marca Chamo de novo, brota aqui em casa Pra tomar um gelo, fazer fumaça Eu não sou sedutor Mas tenho o meu charme Olho fundo nos seus olhos e te conto umas verdades que são boas de escutar E essa voz rouca ajuda, eu sei, não tem como negar Por favor, não se iluda, eu não vou telefonar E nem mandar mensagem de bom dia, uh É que a cara é de bobo, o beijo é de tralha Faço gostoso, deixo minha marca Chamo de novo, brota aqui em casa Pra tomar um gelo, fazer fumaça A cara é de bobo, o beijo é de tralha Faço gostoso, deixo minha marca Chamo de novo, brota aqui em casa Pra tomar um gelo, fazer fumaça Eu não sou sedutor Mas tenho o meu charme"
Segunda Chance,"Sim, eu cometo erros Porquê o meu orgulho está no caminho Mas se você estivesse aqui Iria dizer que sinto sua falta Como estou tentando te esquecer E queria ter você comigo Quando penso em você Me apaixono novamente Gasto o tempo que for Esperando aquela segunda chance Sempre há um motivo para não Se sentir bem suficiente Então me dê mais uma chace? Pra provar que não foi só um lance E dizer que vivo por você Teu olhar invade minha alma Teu sorriso me acalma E me prende à você Fomos feitos um para o outro E para ficarmos juntos para sempre Eu nunca pensei que eu precisaria de você E quando você foi embora eu entrei em desespero Percebe o quanto eu preciso de você agora? Me dê mais uma chace? Pra provar que não foi só um lance Que amo você Teu olhar invade minha alma E teu sorriso me acalma E me prende à você Fomos feitos um para o outro E para ficarmos juntos para sempre Eu queria que você estivesse aqui E quando penso em você Eu me apaixono novamente"
Sem Ar,"Meus pés não tocam mais o chão Meus olhos não vêem em minha direção Da minha boca saem coisas sem sentido Você era o meu farol e hoje estou perdido Sofrimento vem a noite sem pudor Somente o sono ameniza a minha dor Mas e depois ? E quando o dia clarear ? Quero viver do teu sorriso, teu olhar Eu corro pro mar pra não lembrar você E o vento me traz o que eu quero esquecer Entre os soluços do meu choro eu tento te explicar Nos teus braços é o meu lugar Contemplando as estrelas, Minha solidão aperta forte o peito é mais que uma emoção Esqueci do meu orgulho pra você voltar Permaneço sem amor, sem luz, sem ar... Perdi o jogo e tive que te ver partir E minha alma sem motivo pra existir Já não suporto esse vazio quero me entregar Ter você pra nunca mais nos separar Você é o encaixe perfeito do meu coração O teu sorriso é chama da minha paixão Mas é fria a madrugada sem você aqui Só com você no pensamento... Eu corro pro mar pra não lembrar você E o vento me traz o que eu quero esquecer Entre os soluços do meu choro eu tento te explicar Nos teus braços é o meu lugar Contemplando as estrelas, Minha solidão aperta forte o peito é mais que uma emoção Esqueci do meu orgulho pra você voltar Permaneço sem amor, sem luz... Meu ar, meu chão é você Mesmo quando fecho os olhos posso te ver Eu corro pro mar pra não lembrar você E o vento me traz o que eu quero esquecer Entre os soluços do meu choro eu tento te explicar Nos teus braços é o meu lugar Contemplando as estrelas, Minha solidão aperta forte o peito é mais que uma emoção Esqueci do meu orgulho pra você voltar Permaneço sem amor, sem luz, sem ar..."
Sem Ela Tudo  É Saudade,Mais uma noite estou aqui Mais uma vez estou sozinho Morrendo de saudade dela Sofrendo sem nenhum carinho Depois que você foi embora Minha vida é sofrer Te procuro pelas ruas Sinto vou enlouquecer A saudade está em mim E não dá pra disfarçar Dá pra ver em minha face Estampada em meu olhar Já não suporto esta dor Não aguento mais chorar Estou precisando de amor De alguém para me amar Tentei ficar com outra Beijar outra boca Mas a lembrança do teu beijo Ainda está em mim O seu perfume está no ar Não posso viver assim Se você não voltar Minha vida vai ter fim
SEM SENTIMENTO,"A gente terminou tem uma semana Você já tá em outra cama, só fazendo amor E eu aqui, trancado nesse quarto Preso nessa cama, vivo de pijama, e o tempo passando Mesmo sabendo que não vai voltar, eu fico te esperando Eu queria ser igual a você Sem sentimento, sem sentimento Queria poder apagar você Do pensamento, do pensamento Você é mais gelada que o inverno de São Paulo É mais perigosa que nadar em mar aberto O certo era a gente ficar longe Mas o problema é que eu te quero perto Preso nessa cama, vivo de pijama, e o tempo passando Mesmo sabendo que não vai voltar, eu fico te esperando Eu queria ser igual a você Sem sentimento, sem sentimento Queria poder apagar você Do pensamento, do pensamento Eu queria ser igual a você Sem sentimento, sem sentimento Queria poder apagar você Do pensamento, do pensamento"
Semeando Estrelas  (part. Padre Reginaldo Manzotti),"Senhor, eu preciso do teu carinho Porque tá difícil andar sozinho Senhor, eu preciso da tua mão Pra mudar o meu coração Que não encontra uma saída Preciso desse amor imenso pra cessar meus medos Consertar meus erros, mudar meu viver Me ajude por favor eu quero encontrar a verdade Seguir os teus passos, parar de sofrer Pra mudar meu mundo (só o teu amor) Transformar meus dias (só o teu amor) Curar minhas dores (só o teu amor) Teu amor, perdão Ter felicidade (só o teu amor) Toda esperança está no teu amor Que semeia estrelas em cada coração Senhor, eu preciso do teu carinho Porque tá difícil andar sozinho Senhor, eu preciso da tua mão Pra mudar o meu coração Que não encontra uma saída Preciso desse amor imenso pra cessar meus medos Consertar meus erros, mudar meu viver Me ajude por favor eu quero encontrar a verdade Seguir os teus passos, parar de sofrer Pra mudar meu mundo (só o teu amor) Transformar meus dias (só o teu amor) Curar minhas dores (só o teu amor) Teu amor, perdão Ter felicidade (só o teu amor) Toda esperança está no teu amor Que semeia estrelas em cada coração Pra mudar meu mundo (só o teu amor) Transformar meus dias (só o teu amor) Curar minhas dores (só o teu amor) Teu amor, perdão Ter felicidade (só o teu amor) Toda esperança está no teu amor Que semeia estrelas em cada coração"
Sempre Com Você,"E eu que achava que A vida fosse só uma viagem Que o mundo tinha me esquecido E eu que achava que O amor não existia pra todo mundo Que era coisa de cinema Aí você apareceu Com um olhar, me convenceu Anjo de asas coloridas Amor além da vida Eu não resisti a tanto amor O meu coração se entregou E venha o que vier Eu vou estar pra sempre com você Aí você apareceu Com um olhar, me convenceu Anjo de asas coloridas Amor além da vida Eu não resisti a tanto amor O meu coração se entregou E venha o que vier Eu vou estar pra sempre com você Eu não resisti a tanto amor O meu coração se entregou E venha o que vier Eu vou estar pra sempre com você (Sempre com você) Pra sempre com você (Sempre com você) Pra sempre com você"
Será Que É Erro Meu?,Eu já larguei de lado todo meu orgulho Passei por cima de tudo pra te agradar Eu me moldei pensando no nosso futuro Mas no presente você não quer me aceitar Por que será que você só enxerga os meus defeitos? Por que será que eu ainda não tenho o seu respeito? Será que é erro meu dizer que eu te amo o ano inteiro Te elogiar quando corta o cabelo Fazer de tudo por você e eu Será que esse é o erro meu? Será que é erro meu dizer que quando acorda está tão linda Reconhecer que é a mulher da minha vida Acreditar que o nosso amor não foi em vão e não morreu Será que esse é o erro meu?
SEU DOUTOR,"Até quando vai me usar de desculpa Pra aliviar seu tesão? Porque ele não dá conta Pra ele, eu já fui seu dentista Suas idas ao cabeleireiro O contato Melhor Amiga Já era eu o tempo inteiro E aí, você vai deixar ele meter um anel no seu dedo? Quando que cê vai falar pra ele que cê tá zoando? Que transa de olho fechado, me imaginando E quando abre os olhos e vê que não rolou amor Se arruma e vem pra consulta aqui com seu doutor Seu doutor, né? Quando que cê vai falar pra ele que cê tá zoando? Que transa de olho fechado, me imaginando E quando abre os olhos e vê que não rolou amor Se arruma e vem pra consulta aqui com seu doutor Seu doutor, né? Seu doutor Pra ele, eu já fui seu dentista Suas idas ao cabeleireiro O contato Melhor Amiga Já era eu o tempo inteiro E aí, você vai deixar ele meter um anel no seu dedo? Quando que cê vai falar pra ele que cê tá zoando? Que transa de olho fechado, me imaginando E quando abre os olhos e vê que não rolou amor Se arruma e vem pra consulta aqui com seu doutor Seu doutor, né? Quando que cê vai falar pra ele que cê tá zoando? Que transa de olho fechado, me imaginando E quando abre os olhos e vê que não rolou amor Se arruma e vem pra consulta aqui com seu doutor Seu doutor, né? Seu doutor"
